iter	Passed	Remaining
402	15355	22747
403	15391	22705
404	15428	22667
405	15464	22625
406	15500	22584
407	15535	22542
408	15572	22501
409	15608	22461
410	15643	22418
411	15679	22377
412	15716	22337
413	15753	22298
414	15790	22258
415	15827	22219
416	15866	22183
417	15904	22145
418	15941	22104
419	15976	22063
420	16012	22022
421	16052	21986
422	16091	21949
423	16126	21907
424	16163	21868
425	16199	21826
426	16236	21787
427	16272	21747
428	16310	21709
429	16349	21671
430	16385	21632
431	16422	21591
432	16457	21551
433	16493	21510
434	16530	21471
435	16565	21429
436	16602	21389
437	16638	21349
438	16676	21311
439	16714	21272
440	16750	21232
441	16787	21193
442	16823	21153
443	16859	21112
444	16895	21072
445	16935	21036
446	16978	21005
447	17014	20963
448	17054	20928
449	17093	20891
450	17129	20851
451	17167	20814
452	17203	20773
453	17241	20735
454	17277	20695
455	17313	20655
456	17350	20615
457	17385	20574
458	17423	20536
459	17460	20496
460	17494	20454
461	17529	20413
462	17564	20371
463	17601	20332
464	17640	20295
465	17676	20256
466	17710	20213
467	17747	20174
468	17783	20133
469	17819	20094
470	17857	20056
471	17892	20015
472	17930	19977
473	17967	19938
474	18004	19899
475	18043	19862
476	18082	19826
477	18119	19787
478	18156	19747
479	18191	19707
480	18229	19669
481	18268	19632
482	18303	19591
483	18341	19554
484	18377	19514
485	18413	19474
486	18451	19436
487	18487	19396
488	18524	19357
489	18561	19319
490	18597	19279
491	18632	19238
492	18669	19199
493	18702	19157
494	18738	19117
495	18775	19078
496	18810	19037
497	18846	18998
498	18882	18957
499	18919	18919
500	18955	18879
501	18991	18840
502	19028	18801
503	19069	18766
504	19105	18726
505	19145	18691
506	19181	18652
507	19218	18613
508	19257	18576
509	19294	18537
510	19329	18497
511	19368	18460
512	19403	18420
513	19439	18380
514	19474	18340
515	19510	18300
516	19547	18261
517	19584	18222
518	19618	18182
519	19654	18142
520	19690	18103
521	19726	18063
522	19761	18023
523	19797	17984
524	19833	17944
525	19869	17905
526	19905	17866
527	19941	17826
528	19979	17788
529	20016	17750
530	20052	17711
531	20090	17673
532	20126	17634
533	20162	17595
534	20196	17554
535	20233	17515
536	20270	17477
537	20305	17437
538	20341	17397
539	20377	17358
540	20413	17319
541	20449	17280
542	20487	17242
543	20522	17202
544	20559	17164
545	20597	17126
546	20634	17088
547	20671	17050
548	20707	17010
549	20743	16972
550	20780	16933
551	20816	16894
552	20854	16857
553	20890	16817
554	20927	16779
555	20963	16740
556	21001	16702
557	21040	16666
558	21078	16629
559	21115	16591
560	21155	16555
561	21192	16516
562	21229	16478
563	21269	16442
564	21306	16404
565	21342	16365
566	21379	16326
567	21414	16287
568	21453	16250
569	21490	16211
570	21527	16174
571	21564	16135
572	21602	16097
573	21638	16059
574	21673	16019
575	21709	15980
576	21747	15943
577	21785	15905
578	21824	15868
579	21862	15831
580	21899	15793
581	21936	15755
582	21973	15717
583	22011	15679
584	22051	15643
585	22089	15605
586	22125	15567
587	22161	15527
588	22196	15488
589	22232	15449
590	22269	15411
591	22305	15372
592	22341	15333
593	22378	15295
594	22413	15256
595	22451	15219
596	22488	15180
597	22525	15142
598	22561	15103
599	22598	15065
600	22635	15027
601	22672	14989
602	22708	14950
603	22744	14912
604	22780	14873
605	22818	14835
606	22854	14797
607	22890	14758
608	22926	14719
609	22962	14681
610	23001	14643
611	23039	14606
612	23077	14569
613	23114	14531
614	23155	14495
615	23192	14457
616	23228	14418
617	23264	14380
618	23301	14342
619	23338	14304
620	23374	14265
621	23413	14228
622	23460	14196
623	23498	14159
624	23534	14120
625	23571	14082
626	23608	14044
627	23644	14005
628	23681	13967
629	23717	13929
630	23753	13890
631	23789	13852
632	23825	13813
633	23862	13775
634	23898	13737
635	23934	13698
636	23970	13659
637	24009	13622
638	24046	13585
639	24082	13546
640	24118	13507
641	24154	13469
642	24189	13430
643	24225	13391
644	24263	13354
645	24300	13316
646	24337	13278
647	24374	13240
648	24410	13201
649	24446	13163
650	24482	13124
651	24518	13086
652	24554	13048
653	24591	13009
654	24627	12971
655	24664	12933
656	24700	12895
657	24737	12857
658	24773	12819
659	24809	12780
660	24845	12742
661	24882	12704
662	24918	12665
663	24954	12627
664	24992	12589
665	25030	12552
666	25066	12514
667	25103	12476
668	25139	12438
669	25175	12399
670	25211	12361
671	25247	12323
672	25283	12284
673	25319	12246
674	25355	12208
675	25390	12169
676	25426	12131
677	25464	12093
678	25500	12055
679	25536	12017
680	25579	11981
681	25627	11949
682	25664	11911
683	25700	11873
684	25737	11835
685	25774	11797
686	25810	11759
687	25847	11721
688	25884	11683
689	25920	11645
690	25956	11607
691	25993	11569
692	26031	11532
693	26067	11493
694	26104	11455
695	26140	11417
696	26175	11379
697	26212	11341
698	26247	11302
699	26284	11264
700	26321	11226
701	26358	11189
702	26394	11151
703	26434	11114
704	26470	11076
705	26507	11038
706	26543	11000
707	26579	10962
708	26616	10924
709	26652	10886
710	26689	10848
711	26725	10810
712	26761	10772
713	26797	10733
714	26834	10696
715	26870	10657
716	26906	10619
717	26942	10582
718	26981	10544
719	27018	10507
720	27054	10469
721	27091	10431
722	27127	10393
723	27163	10355
724	27200	10317
725	27236	10279
726	27272	10241
727	27308	10203
728	27345	10165
729	27381	10127
730	27417	10089
731	27453	10051
732	27489	10013
733	27524	9974
734	27560	9936
735	27597	9898
736	27632	9860
737	27667	9822
738	27703	9784
739	27746	9748
740	27786	9712
741	27822	9673
742	27857	9635
743	27895	9598
744	27930	9560
745	27968	9522
746	28007	9485
747	28043	9447
748	28079	9409
749	28115	9371
750	28152	9334
751	28188	9296
752	28224	9258
753	28260	9220
754	28296	9182
755	28332	9144
756	28368	9106
757	28404	9068
758	28440	9030
759	28475	8992
760	28511	8954
761	28546	8916
762	28582	8878
763	28618	8840
764	28654	8802
765	28690	8764
766	28726	8726
767	28762	8688
768	28798	8650
769	28833	8612
770	28869	8574
771	28905	8536
772	28941	8499
773	28981	8462
774	29019	8424
775	29054	8386
776	29091	8349
777	29127	8311
778	29163	8273
779	29199	8235
780	29235	8197
781	29270	8159
782	29307	8122
783	29344	8084
784	29381	8047
785	29417	8009
786	29454	7971
787	29491	7934
788	29526	7896
789	29562	7858
790	29597	7820
791	29633	7782
792	29669	7744
793	29705	7706
794	29740	7668
795	29776	7631
796	29812	7593
797	29848	7555
798	29886	7518
799	29930	7482
800	29970	7445
801	30009	7408
802	30045	7371
803	30081	7333
804	30118	7295
805	30154	7258
806	30190	7220
807	30226	7182
808	30261	7144
809	30299	7107
810	30337	7070
811	30374	7032
812	30409	6994
813	30446	6956
814	30482	6919
815	30517	6881
816	30554	6843
817	30590	6806
818	30625	6768
819	30661	6730
820	30699	6693
821	30735	6655
822	30771	6617
823	30807	6580
824	30844	6542
825	30881	6505
826	30916	6467
827	30953	6429
828	30991	6392
829	31028	6355
830	31064	6317
831	31101	6280
832	31137	6242
833	31173	6204
834	31209	6167
835	31246	6129
836	31281	6091
837	31317	6054
838	31353	6016
839	31388	5978
840	31424	5941
841	31460	5903
842	31497	5866
843	31532	5828
844	31568	5790
845	31603	5752
846	31639	5715
847	31675	5677
848	31712	5640
849	31748	5602
850	31784	5565
851	31820	5527
852	31856	5489
853	31892	5452
854	31932	5415
855	31970	5378
856	32007	5340
857	32044	5303
858	32095	5268
859	32131	5230
860	32167	5193
861	32204	5155
862	32247	5119
863	32291	5082
864	32331	5045
865	32368	5008
866	32405	4971
867	32444	4933
868	32482	4896
869	32519	4859
870	32555	4821
871	32592	4784
872	32628	4746
873	32664	4709
874	32700	4671
875	32738	4634
876	32774	4596
877	32809	4558
878	32845	4521
879	32882	4483
880	32918	4446
881	32959	4409
882	32996	4372
883	33032	4334
884	33068	4296
885	33104	4259
886	33142	4222
887	33178	4184
888	33215	4147
889	33251	4109
890	33288	4072
891	33323	4034
892	33360	3997
893	33395	3959
894	33430	3922
895	33465	3884
896	33502	3847
897	33538	3809
898	33576	3772
899	33612	3734
900	33648	3697
901	33684	3659
902	33719	3622
903	33756	3584
904	33792	3547
905	33827	3509
906	33862	3472
907	33898	3434
908	33935	3397
909	33974	3360
910	34011	3322
911	34047	3285
912	34083	3247
913	34118	3210
914	34158	3173
915	34194	3135
916	34233	3098
917	34275	3061
918	34311	3024
919	34347	2986
920	34385	2949
921	34421	2911
922	34456	2874
923	34493	2837
924	34529	2799
925	34565	2762
926	34601	2724
927	34637	2687
928	34673	2649
929	34710	2612
930	34745	2575
931	34782	2537
932	34818	2500
933	34854	2462
934	34890	2425
935	34929	2388
936	34968	2351
937	35005	2313
938	35042	2276
939	35079	2239
940	35115	2201
941	35152	2164
942	35188	2126
943	35224	2089
944	35260	2052
945	35296	2014
946	35331	1977
947	35367	1939
948	35402	1902
949	35440	1865
950	35475	1827
951	35511	1790
952	35548	1753
953	35585	1715
954	35620	1678
955	35656	1641
956	35692	1603
957	35728	1566
958	35764	1529
959	35799	1491
960	35835	1454
961	35870	1416
962	35906	1379
963	35947	1342
964	35983	1305
965	36020	1267
966	36056	1230
967	36091	1193
968	36129	1155
969	36164	1118
970	36200	1081
971	36235	1043
972	36273	1006
973	36309	969
974	36346	931
975	36387	894
976	36429	857
977	36466	820
978	36503	783
979	36540	745
980	36576	708
981	36612	671
982	36649	633
983	36685	596
984	36721	559
985	36758	521
986	36794	484
987	36830	447
988	36867	410
989	36904	372
990	36942	335
991	36979	298
992	37014	260
993	37051	223
994	37087	186
995	37123	149
996	37160	111
997	37197	74
998	37233	37
999	37270	0
